onet_soc_code,canonical_title,description,matched_target_families,top_skills,top_technology_examples
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",,speaking (3.88) | active listening (3.75) | critical thinking (3.75) | monitoring (3.75) | reading comprehension (3.75) | coordination (3.62) | social perceptiveness (3.62) | judgment and decision making (3.50) | management of personnel resources (3.50) | complex problem solving (3.38) | time management (3.38) | instructing (3.25),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe acrobat | autodesk autocad | autodesk revit | google docs | google workspace software | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft visio
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",,critical thinking (4.25) | active listening (4.12) | judgment and decision making (4.12) | reading comprehension (4.12) | complex problem solving (4.00) | monitoring (4.00) | social perceptiveness (4.00) | speaking (4.00) | coordination (3.88) | management of personnel resources (3.75) | writing (3.75) | active learning (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | amazon web services aws software | facebook | microsoft access | microsoft azure software | microsoft project | microsoft visio | microsoft word | oracle peoplesoft | alarm system software | corel wordperfect office suite
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",,critical thinking (4.12) | active listening (4.00) | reading comprehension (4.00) | judgment and decision making (3.88) | monitoring (3.88) | speaking (3.88) | complex problem solving (3.75) | coordination (3.75) | writing (3.75) | management of personnel resources (3.62) | social perceptiveness (3.62) | systems analysis (3.62),amazon web services aws software | microsoft azure software | apache cassandra | apache hadoop | apache maven | apache tomcat | apple macos | atlassian jira | c | c# | c++ | eclipse ide | extensible markup language xml | google analytics | hypertext markup language html
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",,active listening (4.00) | critical thinking (4.00) | reading comprehension (4.00) | speaking (4.00) | monitoring (3.75) | writing (3.75) | complex problem solving (3.62) | coordination (3.62) | judgment and decision making (3.62) | management of personnel resources (3.62) | service orientation (3.62) | social perceptiveness (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | adobe acrobat | alteryx software | ibm spss statistics | intuit quickbooks | marketo marketing automation | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",,complex problem solving (4.12) | critical thinking (4.12) | judgment and decision making (4.12) | reading comprehension (4.12) | management of financial resources (4.00) | speaking (4.00) | active listening (3.88) | monitoring (3.88) | mathematics (3.75) | active learning (3.62) | systems evaluation (3.62) | writing (3.62),intuit quickbooks | microsoft excel | microsoft office software | microsoft powerpoint | sap software | hypertext markup language html | microsoft access | microsoft outlook | microsoft project | microsoft word | oracle peoplesoft | oracle primavera enterprise project portfolio management | structured query language sql | yardi software | accounting software
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",,active listening (4.00) | critical thinking (4.00) | reading comprehension (4.00) | judgment and decision making (3.88) | speaking (3.88) | active learning (3.75) | complex problem solving (3.75) | writing (3.62) | monitoring (3.50) | mathematics (3.38) | systems analysis (3.38) | systems evaluation (3.25),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft access | microsoft power bi | microsoft project | microsoft visio | microsoft word | sap software | sas | structured query language sql | tableau | autodesk autocad blue sky | financial accounting software
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",,coordination (4.00) | critical thinking (4.00) | judgment and decision making (4.00) | monitoring (4.00) | speaking (4.00) | active listening (3.88) | management of personnel resources (3.88) | reading comprehension (3.88) | time management (3.88) | learning strategies (3.75) | systems analysis (3.75) | active learning (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | adobe acrobat | adobe after effects | adobe indesign | adobe photoshop | autodesk autocad | intuit quickbooks | microsoft project | microsoft word | oracle peoplesoft | abb optimize it predict and control
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",,judgment and decision making (4.00) | quality control analysis (4.00) | reading comprehension (4.00) | active listening (3.88) | monitoring (3.88) | speaking (3.88) | writing (3.88) | complex problem solving (3.75) | coordination (3.75) | critical thinking (3.75) | systems evaluation (3.75) | active learning (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe acrobat | atlassian jira | extensible markup language xml | linux | microsoft access | microsoft project | microsoft sql server | microsoft visio | oracle java | sap software
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,,critical thinking (4.00) | monitoring (3.88) | reading comprehension (3.88) | speaking (3.88) | coordination (3.75) | judgment and decision making (3.75) | active listening (3.62) | complex problem solving (3.62) | management of personnel resources (3.62) | time management (3.62) | writing (3.62) | active learning (3.50),microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft word | data logging software | infostat rimbase | personnel scheduling software
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",,critical thinking (3.88) | management of personnel resources (3.88) | reading comprehension (3.88) | active listening (3.75) | monitoring (3.75) | coordination (3.62) | speaking (3.62) | judgment and decision making (3.50) | time management (3.50) | writing (3.50) | complex problem solving (3.38) | learning strategies (3.38),adobe acrobat | autodesk autocad | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | computerized maintenance management system cmms | distributed control system dcs | employee scheduling software | human machine interface hmi software | inventory control software | web browser software
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",,critical thinking (4.00) | speaking (4.00) | active listening (3.88) | monitoring (3.88) | reading comprehension (3.88) | complex problem solving (3.75) | coordination (3.75) | judgment and decision making (3.75) | management of personnel resources (3.75) | time management (3.62) | operations monitoring (3.38) | instructing (3.25),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | computer aided design cad software | computerized maintenance management system cmms | distributed control system dcs | employee scheduling software | inventory control software
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,,active listening (4.12) | speaking (4.12) | judgment and decision making (3.88) | monitoring (3.88) | reading comprehension (3.88) | critical thinking (3.75) | management of personnel resources (3.75) | time management (3.75) | active learning (3.62) | complex problem solving (3.62) | learning strategies (3.62) | coordination (3.50),apache kafka | microsoft access | microsoft active server pages asp | microsoft excel | microsoft office software | microsoft powerpoint | microsoft project | microsoft sql server | microsoft word | oracle database | sap software | computerized maintenance management system cmms | distributed control system dcs | email software | enterprise resource planning erp software
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",,active listening (4.00) | management of personnel resources (4.00) | speaking (4.00) | monitoring (3.88) | negotiation (3.88) | reading comprehension (3.88) | social perceptiveness (3.88) | time management (3.88) | writing (3.88) | coordination (3.75) | critical thinking (3.75) | judgment and decision making (3.75),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | microsoft word | oracle database | oracle peoplesoft | purchasing software | automated purchase order software | bottomline technologies bottomline sprinter purchasing manager
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",analytics,active listening (3.88) | reading comprehension (3.88) | coordination (3.75) | monitoring (3.75) | active learning (3.62) | complex problem solving (3.62) | critical thinking (3.62) | instructing (3.62) | negotiation (3.62) | speaking (3.62) | systems analysis (3.62) | time management (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | autodesk autocad civil 3d | bentley microstation | microsoft access | microsoft project | microsoft sql server | microsoft visio | microsoft word | oracle primavera enterprise project portfolio management | sap software | structured query language sql | warehouse management system wms
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",analytics,active listening (4.00) | coordination (4.00) | judgment and decision making (4.00) | monitoring (4.00) | reading comprehension (4.00) | speaking (4.00) | time management (4.00) | complex problem solving (3.88) | critical thinking (3.88) | systems evaluation (3.88) | writing (3.88) | active learning (3.75),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | meditech software | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio | microsoft word | oracle peoplesoft | structured query language sql | inventory management systems
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",,active listening (4.00) | reading comprehension (4.00) | speaking (4.00) | writing (4.00) | critical thinking (3.88) | judgment and decision making (3.88) | active learning (3.75) | management of personnel resources (3.62) | time management (3.62) | social perceptiveness (3.50) | complex problem solving (3.38) | monitoring (3.38),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | workday software | adobe illustrator | adobe photoshop | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio | microsoft word | oracle peoplesoft
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",,active listening (4.38) | management of personnel resources (4.25) | reading comprehension (4.25) | speaking (4.25) | coordination (4.12) | writing (4.12) | active learning (4.00) | complex problem solving (4.00) | critical thinking (4.00) | judgment and decision making (4.00) | monitoring (4.00) | social perceptiveness (4.00),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | workday software | facebook | ibm spss statistics | intuit quickbooks | kronos workforce timekeeper | microsoft access | microsoft project | microsoft visio | microsoft word | oracle peoplesoft | sap software
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",,learning strategies (4.25) | active listening (4.00) | instructing (4.00) | reading comprehension (4.00) | speaking (4.00) | coordination (3.88) | monitoring (3.88) | social perceptiveness (3.88) | writing (3.88) | active learning (3.75) | critical thinking (3.75) | complex problem solving (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe acrobat | adobe illustrator | adobe photoshop | apache cassandra | cisco webex | epic systems | javascript | microsoft project | microsoft visual basic | oracle peoplesoft
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",,active listening (3.88) | critical thinking (3.88) | reading comprehension (3.75) | complex problem solving (3.62) | management of personnel resources (3.62) | speaking (3.62) | coordination (3.50) | judgment and decision making (3.50) | active learning (3.38) | monitoring (3.38) | social perceptiveness (3.38) | time management (3.38),microsoft excel | microsoft office software | adobe photoshop | atlassian confluence | facebook | microsoft access | microsoft outlook | microsoft powerpoint | microsoft visio | microsoft word | sap software | accutech systems corporation accufarm-mgr | advanced veterinary services ranch vision | ag connections land db | ag leader technology sms advanced
