onet_soc_code,canonical_title,description,matched_target_families,top_skills,top_technology_examples
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",analytics,active listening (4.12) | critical thinking (4.12) | reading comprehension (4.12) | complex problem solving (4.00) | judgment and decision making (4.00) | speaking (4.00) | writing (4.00) | coordination (3.88) | monitoring (3.88) | social perceptiveness (3.88) | systems evaluation (3.88) | systems analysis (3.75),atlassian jira | microsoft excel | microsoft office software | microsoft outlook | microsoft power bi | microsoft powerpoint | microsoft sharepoint | microsoft visio | python | salesforce software | structured query language sql | tableau | adobe acrobat | adobe indesign | ajax
13-1121.00,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",,active listening (4.00) | reading comprehension (4.00) | speaking (4.00) | coordination (3.88) | critical thinking (3.88) | service orientation (3.88) | social perceptiveness (3.88) | time management (3.75) | complex problem solving (3.62) | judgment and decision making (3.62) | monitoring (3.50) | persuasion (3.50),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe creative cloud software | adobe indesign | adobe photoshop | esri arcgis software | facebook | google docs | hypertext markup language html | marketo marketing automation | microsoft access | microsoft project
13-1131.00,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.",,speaking (4.12) | active listening (4.00) | persuasion (4.00) | reading comprehension (4.00) | writing (4.00) | critical thinking (3.88) | negotiation (3.88) | coordination (3.75) | social perceptiveness (3.62) | service orientation (3.50) | judgment and decision making (3.38) | active learning (3.25),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | salesforce software | facebook | structured query language sql | blackbaud the raiser s edge | adobe pagemaker | audienceview ticketing | blackbaud etapestry | blackbaud luminate crm | constant contact | corel coreldraw graphics suite
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",,active listening (3.88) | reading comprehension (3.88) | speaking (3.88) | critical thinking (3.75) | active learning (3.38) | writing (3.38) | complex problem solving (3.12) | judgment and decision making (3.12) | mathematics (3.12) | monitoring (3.12) | systems analysis (3.12) | systems evaluation (3.12),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | workday software | ibm spss statistics | kronos workforce timekeeper | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visual basic | microsoft word | oracle peoplesoft | sap software
13-1151.00,Training and Development Specialists,Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.,,instructing (4.38) | speaking (4.38) | learning strategies (4.12) | active listening (4.00) | social perceptiveness (4.00) | active learning (3.88) | critical thinking (3.88) | judgment and decision making (3.88) | monitoring (3.88) | reading comprehension (3.88) | writing (3.88) | coordination (3.75),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | adobe acrobat | adobe after effects | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | cisco webex | django | epic systems | hypertext markup language html
13-1161.00,Market Research Analysts and Marketing Specialists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.",analytics,critical thinking (4.00) | reading comprehension (4.00) | writing (4.00) | active listening (3.88) | complex problem solving (3.88) | speaking (3.88) | judgment and decision making (3.62) | active learning (3.50) | mathematics (3.25) | monitoring (3.25) | persuasion (3.12) | social perceptiveness (3.12),adobe creative cloud software | adobe photoshop | canva | google analytics | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | salesforce software | tiktok | adobe acrobat | adobe after effects | adobe illustrator | adobe indesign | amazon redshift
13-1161.01,Search Marketing Strategists,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",,complex problem solving (3.88) | reading comprehension (3.88) | active learning (3.75) | active listening (3.75) | critical thinking (3.75) | judgment and decision making (3.75) | speaking (3.62) | writing (3.50) | monitoring (3.38) | systems analysis (3.38) | systems evaluation (3.38) | coordination (3.25),cascading style sheets css | google analytics | hypertext markup language html | javascript | microsoft excel | microsoft office software | microsoft powerpoint | python | wordpress | adobe photoshop | ajax | elasticsearch | facebook | hubspot software | marketo marketing automation
13-1199.00,"Business Operations Specialists, All Other",All business operations specialists not listed separately.,,,
13-1199.04,Business Continuity Planners,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.",,active listening (4.12) | complex problem solving (4.12) | critical thinking (4.12) | judgment and decision making (4.12) | active learning (4.00) | reading comprehension (4.00) | speaking (4.00) | systems analysis (4.00) | systems evaluation (4.00) | writing (4.00) | coordination (3.75) | monitoring (3.62),atlassian jira | microsoft excel | microsoft office software | microsoft powerpoint | microsoft sharepoint | servicenow | adobe acrobat | atlassian confluence | microsoft access | microsoft outlook | microsoft project | microsoft sql server | microsoft visio | microsoft word | oracle primavera enterprise project portfolio management
13-1199.05,Sustainability Specialists,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.",,reading comprehension (4.00) | speaking (4.00) | writing (4.00) | active listening (3.88) | critical thinking (3.88) | complex problem solving (3.62) | judgment and decision making (3.62) | monitoring (3.50) | active learning (3.25) | coordination (3.25) | systems evaluation (3.25) | learning strategies (3.12),microsoft excel | microsoft office software | microsoft outlook | microsoft power bi | microsoft powerpoint | tableau | adobe acrobat | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | autodesk autocad | autodesk autocad civil 3d | autodesk revit | bentley microstation
13-1199.06,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",,reading comprehension (3.62) | active listening (3.50) | critical thinking (3.50) | speaking (3.50) | persuasion (3.38) | service orientation (3.38) | writing (3.38) | judgment and decision making (3.25) | monitoring (3.12) | negotiation (3.12) | social perceptiveness (3.12) | complex problem solving (3.00),google analytics | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | adobe photoshop | ajax | apple macos | c# | extensible markup language xml | facebook | hypertext markup language html | intuit quickbooks | javascript | jquery
13-1199.07,Security Management Specialists,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",,active listening (4.12) | critical thinking (4.00) | speaking (4.00) | judgment and decision making (3.88) | reading comprehension (3.88) | complex problem solving (3.75) | coordination (3.75) | monitoring (3.62) | systems analysis (3.62) | systems evaluation (3.62) | writing (3.62) | social perceptiveness (3.50),amazon web services aws software | linux | microsoft active directory | microsoft azure software | microsoft excel | microsoft office software | microsoft powerpoint | microsoft powershell | adobe acrobat | javascript | microsoft access | microsoft outlook | microsoft sharepoint | microsoft visio | microsoft windows
13-2011.00,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",,reading comprehension (3.88) | active listening (3.75) | critical thinking (3.75) | speaking (3.75) | judgment and decision making (3.50) | writing (3.50) | complex problem solving (3.38) | monitoring (3.38) | coordination (3.25) | mathematics (3.25) | active learning (3.12) | service orientation (3.12),intuit quickbooks | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | adobe acrobat | alteryx software | epic systems | google docs | google sheets | ibm spss statistics | meditech software | microsoft access | microsoft project
13-2022.00,Appraisers of Personal and Business Property,"Appraise and estimate the fair value of tangible personal or business property, such as jewelry, art, antiques, collectibles, and equipment. May also appraise land.",,reading comprehension (3.88) | critical thinking (3.62) | writing (3.50) | active listening (3.38) | speaking (3.38) | active learning (3.12) | complex problem solving (3.00) | judgment and decision making (3.00) | time management (3.00) | mathematics (2.88) | monitoring (2.88) | negotiation (2.88),microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft windows | microsoft word | yardi software | ascend property assessment | bruno realty eneighboorhoods | computer assisted mass appraisal cama software | cost estimating software | cpr visual estimator | hp 49g+ appraiser fee calculator | mass appraisal records system mars
13-2023.00,Appraisers and Assessors of Real Estate,"Appraise real estate, exclusively, and estimate its fair value. May assess taxes in accordance with prescribed schedules.",,reading comprehension (3.62) | active listening (3.50) | critical thinking (3.50) | speaking (3.38) | writing (3.38) | complex problem solving (3.12) | judgment and decision making (3.00) | coordination (2.88) | monitoring (2.88) | active learning (2.75) | persuasion (2.75) | service orientation (2.75),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | apple ios | google workspace software | microsoft access | microsoft windows | yardi software | a la mode pocket total | a la mode wintotal | aci appraiser s choice | apex iv assessor | apex iv fee appraiser
13-2031.00,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports.",,critical thinking (3.88) | mathematics (3.88) | active listening (3.75) | complex problem solving (3.75) | judgment and decision making (3.75) | reading comprehension (3.75) | speaking (3.75) | management of financial resources (3.38) | active learning (3.25) | monitoring (3.12) | systems analysis (3.12) | writing (3.12),microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft power bi | microsoft powerpoint | microsoft word | sap software | microsoft sharepoint | microsoft visual basic | structured query language sql | accounting software | adaptive planning | budget monitoring systems | budgeting forecasting and planning software
13-2041.00,Credit Analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.,,critical thinking (3.88) | active learning (3.62) | reading comprehension (3.62) | speaking (3.62) | active listening (3.50) | mathematics (3.38) | judgment and decision making (3.12) | writing (3.12) | complex problem solving (3.00) | monitoring (3.00) | service orientation (3.00) | social perceptiveness (3.00),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | microsoft sql server | microsoft visual basic | microsoft visual basic for applications vba | python | sap software | sas | structured query language sql | cgi-ams bureaulink enterprise | cgi-ams cacs enterprise | cgi-ams strata
13-2051.00,Financial and Investment Analysts,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.",analytics,,microsoft excel | microsoft office software | microsoft outlook | microsoft power bi | microsoft powerpoint | sap software | structured query language sql | tableau | alteryx software | apache hive | google docs | ibm spss statistics | intuit quickbooks | marketo marketing automation | microsoft access
13-2052.00,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",,active listening (4.12) | reading comprehension (4.12) | speaking (4.00) | writing (3.88) | critical thinking (3.75) | complex problem solving (3.62) | judgment and decision making (3.62) | mathematics (3.62) | service orientation (3.62) | social perceptiveness (3.62) | persuasion (3.38) | systems analysis (3.38),microsoft excel | microsoft office software | microsoft powerpoint | microsoft access | microsoft outlook | microsoft project | microsoft sql server | microsoft visual basic | microsoft word | salesforce software | structured query language sql | swift | act act4advisors | advent axys | adviceamerica advisorvision
13-2053.00,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,,active listening (3.75) | critical thinking (3.75) | reading comprehension (3.75) | writing (3.75) | speaking (3.62) | judgment and decision making (3.50) | active learning (3.12) | complex problem solving (3.12) | coordination (3.00) | monitoring (3.00) | service orientation (3.00) | social perceptiveness (3.00),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | c++ | microsoft access | microsoft windows | microsoft word | anodas software limited phoenix | consilience software maven insurance automation suite | csc nbaccelerator | database software | delphi technology | fair isaac enterprise decision management for insurance | fannie mae desktop underwriter
13-2054.00,Financial Risk Specialists,"Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk.",analytics,,amazon web services aws software | microsoft azure software | microsoft excel | microsoft office software | microsoft powerpoint | python | r | structured query language sql | tableau | apache hive | atlassian jira | c++ | google docs | ibm spss statistics | intuit quickbooks
13-2061.00,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",,critical thinking (4.12) | reading comprehension (4.12) | active listening (4.00) | speaking (4.00) | writing (4.00) | complex problem solving (3.88) | judgment and decision making (3.88) | monitoring (3.88) | active learning (3.62) | coordination (3.62) | mathematics (3.62) | social perceptiveness (3.62),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | r | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | microsoft windows | microsoft word | sap software | structured query language sql | acl analytics | auditing software
13-2071.00,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.",,speaking (4.00) | active listening (3.88) | reading comprehension (3.88) | critical thinking (3.75) | writing (3.75) | active learning (3.62) | service orientation (3.62) | complex problem solving (3.50) | judgment and decision making (3.50) | persuasion (3.38) | negotiation (3.25) | coordination (3.12),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | microsoft access | oracle peoplesoft | sap software | chat software | cooperative processing resources dms professional suite | corelogic debtortrace | email software | freddie mac loan prospector | icco creditsoft | integrant debtlogic
13-2072.00,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",,active listening (4.00) | speaking (4.00) | judgment and decision making (3.88) | reading comprehension (3.88) | critical thinking (3.75) | writing (3.38) | complex problem solving (3.25) | mathematics (3.25) | social perceptiveness (3.25) | active learning (3.12) | time management (3.12) | service orientation (3.00),microsoft excel | microsoft office software | microsoft outlook | microsoft word | microsoft access | microsoft powerpoint | oracle peoplesoft | sap software | zoom | 1003 uniform residential loan application | amortization loan software | bankers systems rembrandt lending system | bottom line loanmaster loan servicing | california infinite lps | calyx point
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,,active listening (4.00) | reading comprehension (4.00) | speaking (4.00) | critical thinking (3.88) | active learning (3.25) | mathematics (3.25) | monitoring (3.25) | writing (3.25) | judgment and decision making (3.12) | complex problem solving (3.00) | coordination (3.00) | negotiation (3.00),alteryx software | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | sap software | intuit quickbooks | microsoft access | microsoft power bi | microsoft word | tax compliance property tax management software | tax software | adp workforce now | automated tax system software | document management system software
13-2082.00,Tax Preparers,Prepare tax returns for individuals or small businesses.,,reading comprehension (4.00) | active listening (3.88) | critical thinking (3.50) | active learning (3.12) | speaking (3.12) | time management (3.12) | judgment and decision making (3.00) | mathematics (3.00) | monitoring (3.00) | service orientation (3.00) | writing (3.00) | complex problem solving (2.88),microsoft excel | microsoft office software | microsoft outlook | intuit quickbooks | microsoft access | microsoft word | intuit turbotax | tax compliance property tax management software | tax software | aci tasktracker | atx total accounting office | atx total tax office | cch prosystem fx tax | creative solutions cpa depreciation | creative solutions ultratax cs
13-2099.00,"Financial Specialists, All Other",All financial specialists not listed separately.,,,
13-2099.01,Financial Quantitative Analysts,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",analytics,mathematics (4.38) | critical thinking (4.12) | reading comprehension (4.00) | complex problem solving (3.88) | active learning (3.75) | active listening (3.75) | judgment and decision making (3.75) | speaking (3.75) | writing (3.50) | systems analysis (3.25) | systems evaluation (3.25) | persuasion (3.12),c++ | microsoft excel | microsoft office software | microsoft powerpoint | microsoft visual basic for applications vba | python | r | sas | structured query language sql | tableau | the mathworks matlab | amazon web services aws software | apache hive | c# | ibm spss statistics
13-2099.04,"Fraud Examiners, Investigators and Analysts","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.",analytics,active listening (4.12) | writing (4.12) | complex problem solving (4.00) | critical thinking (4.00) | reading comprehension (4.00) | speaking (4.00) | judgment and decision making (3.88) | active learning (3.75) | coordination (3.62) | social perceptiveness (3.38) | persuasion (3.25) | monitoring (3.12),microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft word | structured query language sql | microsoft access | microsoft sharepoint | microsoft sql server | microsoft visio | python | r | sas | splunk enterprise | tableau
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",,speaking (4.00) | reading comprehension (3.88) | active listening (3.75) | critical thinking (3.75) | systems analysis (3.75) | systems evaluation (3.75) | active learning (3.62) | judgment and decision making (3.62) | complex problem solving (3.38) | monitoring (3.38) | writing (3.38) | programming (3.25),atlassian jira | microsoft excel | microsoft office software | microsoft power bi | microsoft powerpoint | microsoft sharepoint | python | sap software | servicenow | structured query language sql | adobe acrobat | adobe illustrator | adobe photoshop | ajax | amazon dynamodb
15-1211.01,Health Informatics Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",analytics,reading comprehension (4.38) | complex problem solving (4.12) | active listening (4.00) | critical thinking (4.00) | speaking (4.00) | writing (4.00) | judgment and decision making (3.88) | active learning (3.75) | learning strategies (3.75) | systems analysis (3.75) | systems evaluation (3.75) | monitoring (3.62),microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft power bi | microsoft powerpoint | microsoft word | python | r | sas | structured query language sql | tableau | apache hadoop | eclinicalworks ehr software | epic systems
15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",machine_learning,reading comprehension (4.00) | critical thinking (3.88) | active listening (3.75) | complex problem solving (3.75) | speaking (3.62) | writing (3.50) | judgment and decision making (3.38) | monitoring (3.38) | systems analysis (3.38) | active learning (3.25) | time management (3.12) | coordination (3.00),amazon web services aws software | linux | microsoft azure software | microsoft excel | microsoft office software | microsoft powerpoint | microsoft powershell | python | splunk enterprise | unix | ajax | amazon dynamodb | amazon elastic compute cloud ec2 | amazon redshift | amazon web services aws cloudformation
15-1221.00,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.","data_science,machine_learning",complex problem solving (4.00) | critical thinking (4.00) | judgment and decision making (4.00) | active listening (3.75) | reading comprehension (3.75) | systems analysis (3.75) | programming (3.62) | systems evaluation (3.62) | active learning (3.50) | speaking (3.50) | mathematics (3.38) | time management (3.38),amazon web services aws software | ansible software | apache hadoop | apache spark | bash | c | c++ | docker | git | github | go | ibm terraform | javascript | jenkins ci | kubernetes
15-1231.00,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",,critical thinking (3.75) | active listening (3.50) | judgment and decision making (3.38) | reading comprehension (3.38) | active learning (3.25) | complex problem solving (3.25) | monitoring (3.25) | speaking (3.25) | systems analysis (3.12) | troubleshooting (3.12) | operations monitoring (3.00) | systems evaluation (3.00),apple macos | linux | microsoft active directory | microsoft excel | microsoft office software | microsoft outlook | microsoft windows | microsoft windows server | servicenow | adobe acrobat | apache tomcat | bash | border gateway protocol bgp | microsoft access | microsoft azure software
15-1232.00,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",,active listening (4.00) | reading comprehension (4.00) | speaking (4.00) | critical thinking (3.75) | complex problem solving (3.62) | writing (3.50) | judgment and decision making (3.25) | active learning (3.12) | learning strategies (3.12) | monitoring (3.12) | service orientation (3.12) | social perceptiveness (3.12),apple ios | apple macos | linux | microsoft active directory | microsoft azure software | microsoft excel | microsoft office software | microsoft outlook | microsoft windows | servicenow | structured query language sql | adobe acrobat | adobe creative cloud software | adobe illustrator | adobe indesign
15-1241.00,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",,critical thinking (4.12) | reading comprehension (4.00) | complex problem solving (3.88) | programming (3.88) | systems evaluation (3.88) | active listening (3.75) | judgment and decision making (3.75) | systems analysis (3.75) | writing (3.62) | coordination (3.50) | speaking (3.50) | active learning (3.25),amazon web services aws software | ansible software | border gateway protocol bgp | ibm terraform | linux | microsoft azure software | microsoft excel | microsoft office software | microsoft powershell | oracle java | python | structured query language sql | adobe after effects | ajax | amazon dynamodb
15-1241.01,Telecommunications Engineering Specialists,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.",,active listening (3.62) | critical thinking (3.62) | reading comprehension (3.62) | active learning (3.38) | speaking (3.25) | writing (3.25) | complex problem solving (3.12) | judgment and decision making (3.12) | monitoring (3.12) | operations monitoring (3.12) | social perceptiveness (3.12) | systems analysis (3.12),autodesk autocad | microsoft excel | microsoft office software | microsoft outlook | microsoft powerpoint | microsoft visio | apache kafka | linux | microsoft powershell | microsoft project | microsoft sql server | microsoft teams | microsoft windows | microsoft windows server | microsoft word
15-1242.00,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",engineering_data_platform,complex problem solving (3.88) | critical thinking (3.88) | active listening (3.75) | judgment and decision making (3.75) | reading comprehension (3.75) | active learning (3.50) | programming (3.38) | speaking (3.38) | monitoring (3.25) | writing (3.25) | operations analysis (3.12) | systems analysis (3.12),amazon redshift | amazon web services aws software | apache airflow | apache hadoop | apache kafka | apache spark | git | informatica software | linux | microsoft access | microsoft azure software | microsoft excel | microsoft office software | microsoft power bi | microsoft sql server
15-1243.00,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.","analytics,engineering_data_platform",complex problem solving (3.88) | critical thinking (3.88) | judgment and decision making (3.88) | reading comprehension (3.88) | systems analysis (3.75) | active listening (3.50) | speaking (3.50) | programming (3.38) | active learning (3.25) | systems evaluation (3.25) | monitoring (3.12) | operations analysis (3.12),amazon web services aws software | apache spark | microsoft azure software | microsoft excel | microsoft office software | microsoft power bi | microsoft powerpoint | oracle java | python | r | snowflake | structured query language sql | tableau | adobe acrobat | ajax
15-1243.01,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.","analytics,engineering_data_platform",critical thinking (3.88) | reading comprehension (3.88) | programming (3.75) | complex problem solving (3.62) | active listening (3.50) | systems analysis (3.50) | judgment and decision making (3.38) | speaking (3.38) | systems evaluation (3.25) | writing (3.25) | coordination (3.12) | active learning (3.00),microsoft access | microsoft excel | microsoft office software | microsoft outlook | microsoft power bi | microsoft powerpoint | python | structured query language sql | tableau | amazon dynamodb | amazon elastic compute cloud ec2 | amazon redshift | amazon web services aws software | apache cassandra | apache hadoop
15-1244.00,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",machine_learning,critical thinking (3.88) | judgment and decision making (3.88) | reading comprehension (3.88) | systems analysis (3.88) | active listening (3.75) | complex problem solving (3.75) | monitoring (3.75) | systems evaluation (3.75) | troubleshooting (3.75) | programming (3.62) | operations monitoring (3.38) | speaking (3.38),amazon web services aws software | ansible software | bash | linux | microsoft active directory | microsoft azure software | microsoft excel | microsoft office software | microsoft powershell | microsoft sharepoint | microsoft windows | microsoft windows server | python | red hat enterprise linux | servicenow
15-1251.00,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",,programming (4.75) | active listening (3.75) | complex problem solving (3.75) | critical thinking (3.75) | quality control analysis (3.50) | reading comprehension (3.38) | systems analysis (3.38) | judgment and decision making (3.25) | writing (3.25) | active learning (3.12) | mathematics (3.12) | operations analysis (3.12),c# | c++ | cascading style sheets css | extensible markup language xml | git | hypertext markup language html | javascript | linux | microsoft excel | microsoft office software | microsoft powerpoint | microsoft sql server | microsoft visual studio | oracle java | python
15-1252.00,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",machine_learning,programming (4.00) | critical thinking (3.88) | judgment and decision making (3.62) | active learning (3.50) | reading comprehension (3.50) | systems analysis (3.50) | active listening (3.38) | complex problem solving (3.38) | systems evaluation (3.38) | technology design (3.38) | operations analysis (3.25) | writing (3.25),amazon web services aws software | apache kafka | atlassian jira | c | c# | c++ | cascading style sheets css | docker | extensible markup language xml | git | github | google angular | hypertext markup language html | ibm terraform | javascript
15-1253.00,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",,reading comprehension (4.00) | active listening (3.88) | critical thinking (3.88) | speaking (3.88) | writing (3.75) | monitoring (3.62) | programming (3.62) | complex problem solving (3.38) | quality control analysis (3.38) | systems evaluation (3.25) | active learning (3.12) | judgment and decision making (3.12),amazon web services aws software | atlassian jira | c# | c++ | git | github | javascript | jenkins ci | linux | microsoft azure software | microsoft excel | microsoft office software | oracle java | python | selenium
15-1254.00,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",,programming (4.12) | critical thinking (3.75) | complex problem solving (3.62) | operations analysis (3.62) | reading comprehension (3.62) | active learning (3.50) | active listening (3.50) | judgment and decision making (3.38) | speaking (3.25) | systems analysis (3.12) | writing (3.12) | coordination (3.00),amazon web services aws software | apache kafka | atlassian jira | c# | c++ | cascading style sheets css | docker | git | github | go | google angular | graphql | hypertext markup language html | javascript | javascript object notation json
