onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
17-2141.01,Fuel Cell Engineers,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.",,engineering and technology (4.64) | mathematics (3.86) | computers and electronics (3.48) | telecommunications (1.82),microsoft excel | python | the mathworks matlab | autodesk autocad | c | c++ | microsoft windows | oracle database | mathworks simulink | ansoft simplorer | ansys fluent | aspen plus | enterprise resource planning erp software | factsage | failure mode and effects analysis fmea software
17-2141.02,Automotive Engineers,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",,engineering and technology (4.71) | mathematics (4.33) | computers and electronics (3.85) | telecommunications (2.43),autodesk autocad | dassault systemes solidworks | microsoft excel | python | the mathworks matlab | adobe photoshop | atlassian confluence | atlassian jira | c | c# | c++ | extensible markup language xml | git | javascript | javascript object notation json
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",,engineering and technology (4.47) | mathematics (4.44) | computers and electronics (3.13) | telecommunications (1.78),autodesk autocad | autodesk autocad civil 3d | microsoft excel | bentley microstation | microsoft access | microsoft project | microsoft sharepoint | microsoft windows | mysql | oracle database | sap software | business software applications | carlson survcadd | computer aided design and drafting cadd software | cyberark
17-2161.00,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.",,engineering and technology (4.57) | mathematics (4.40) | computers and electronics (3.67) | telecommunications (2.05),microsoft excel | python | c++ | linux | microsoft access | oracle java | salesforce software | sap software | sas | the mathworks matlab | unix | anisn dose assessment computer code | bermuda nuclear transport computer codes | computer aided design cad software | desktop publishing software
17-2171.00,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,,engineering and technology (4.40) | mathematics (4.12) | computers and electronics (3.51) | telecommunications (2.00),autodesk autocad | microsoft excel | c# | c++ | eclipse ide | google analytics | linux | microsoft access | microsoft project | microsoft visio | microsoft visual studio | oracle database | oracle java | python | r
17-2199.00,"Engineers, All Other",All engineers not listed separately.,,,
17-2199.03,"Energy Engineers, Except Wind and Solar","Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.",,engineering and technology (4.50) | mathematics (3.95) | computers and electronics (3.00) | telecommunications (1.86),autodesk autocad | c++ | microsoft excel | python | the mathworks matlab | microsoft access | microsoft project | microsoft visio | r | 360 analytics equest | airmaster+ | architectural energy corporation enforma building diagnostics | architectural energy corporation visualdoe | autodesk ecotect | carrier hourly analysis program hap
17-2199.05,Mechatronics Engineers,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.",,engineering and technology (4.65) | mathematics (3.89) | computers and electronics (3.02) | telecommunications (2.05),autodesk autocad | c | c++ | dassault systemes solidworks | microsoft excel | python | the mathworks matlab | linux | microsoft project | microsoft visio | microsoft visual basic | microsoft windows | oracle java | sap software | structured query language sql
17-2199.06,Microsystems Engineers,"Research, design, develop, or test microelectromechanical systems (MEMS) devices.",,computers and electronics (4.62) | engineering and technology (4.60) | mathematics (4.07) | telecommunications (2.67),adobe photoshop | apple macos | autodesk autocad | bash | c | c# | c++ | dassault systemes solidworks | facebook | git | javascript | linux | microsoft access | microsoft excel | microsoft project
17-2199.07,Photonics Engineers,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.",,engineering and technology (4.83) | mathematics (4.57) | computers and electronics (4.23) | telecommunications (2.74),c++ | dassault systemes solidworks | python | r | the mathworks matlab | autodesk autocad | c | c# | esri arcgis software | facebook | go | linux | microsoft excel | microsoft net framework | microsoft visio
17-2199.08,Robotics Engineers,"Research, design, develop, or test robotic applications.",,engineering and technology (4.79) | computers and electronics (4.45) | mathematics (4.20) | telecommunications (2.83),atlassian jira | autodesk autocad | c | c# | c++ | dassault systemes solidworks | git | linux | oracle java | python | the mathworks matlab | amazon web services aws software | bentley microstation | javascript | microsoft excel
17-2199.09,Nanosystems Engineers,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.",data_science,engineering and technology (4.62) | mathematics (4.14) | computers and electronics (3.81) | telecommunications (1.86),apache hadoop | autodesk autocad | dassault systemes solidworks | linux | microsoft excel | microsoft project | microsoft visio | microsoft windows | oracle database | oracle java | python | salesforce software | sap software | structured query language sql | tableau
17-2199.10,Wind Energy Engineers,Design underground or overhead wind farm collector systems and prepare and develop site specifications.,,engineering and technology (4.81) | mathematics (4.40) | computers and electronics (4.01) | telecommunications (2.28),c++ | git | linux | microsoft excel | python | the mathworks matlab | amazon web services aws software | apache subversion svn | autodesk autocad | bentley microstation | c# | dassault systemes solidworks | esri arcgis software | extensible markup language xml | junit
17-2199.11,Solar Energy Systems Engineers,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.",,engineering and technology (4.32) | mathematics (3.82) | computers and electronics (3.29) | telecommunications (2.39),autodesk autocad | microsoft excel | python | autodesk revit | bash | c++ | dassault systemes solidworks | google workspace software | javascript | linux | microsoft access | microsoft project | microsoft visio | microsoft visual basic | microsoft visual basic for applications vba
17-3011.00,Architectural and Civil Drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.",,engineering and technology (4.19) | computers and electronics (3.79) | mathematics (3.58) | telecommunications (2.06),adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | autodesk autocad | autodesk autocad civil 3d | autodesk revit | bentley microstation | microsoft excel | trimble sketchup pro | adobe acrobat | adobe after effects | c | dassault systemes solidworks | esri arcgis software
17-3012.00,Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.",,engineering and technology (4.26) | computers and electronics (4.18) | mathematics (3.59) | telecommunications (2.52),autodesk autocad | autodesk revit | bentley microstation | microsoft excel | adobe illustrator | c | c++ | dassault systemes solidworks | linux | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | perl | python
17-3013.00,Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.",,engineering and technology (4.73) | mathematics (4.37) | computers and electronics (3.82) | telecommunications (1.49),autodesk autocad | autodesk revit | bentley microstation | dassault systemes solidworks | microsoft excel | adobe after effects | autodesk autocad civil 3d | esri arcgis software | extensible markup language xml | microsoft access | microsoft project | sap software | trimble sketchup pro | autodesk navisworks | navisworks jetstream
17-3019.00,"Drafters, All Other",All drafters not listed separately.,,,
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,"Operate, install, adjust, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.",,engineering and technology (4.28) | mathematics (3.93) | computers and electronics (3.33) | telecommunications (2.58),apache hadoop | atlassian jira | autodesk autocad | c++ | dassault systemes solidworks | extensible markup language xml | javascript | junit | linux | microsoft access | microsoft excel | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio
17-3022.00,Civil Engineering Technologists and Technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.",,engineering and technology (4.47) | mathematics (4.24) | computers and electronics (3.53) | telecommunications (2.48),autodesk autocad | autodesk autocad civil 3d | bentley microstation | esri arcgis software | microsoft excel | autodesk revit | microsoft visual basic | sap software | geographic information system gis systems | autodesk land desktop | bentley systems inroads suite | computer aided design and drafting software cadd | computer aided design cad software | coordinate geometry cogo software | digital terrain modeling software
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, adjust, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.",,computers and electronics (4.38) | engineering and technology (4.36) | mathematics (3.52) | telecommunications (3.13),microsoft excel | adobe acrobat | autodesk autocad | autodesk revit | bentley microstation | c | c++ | dassault systemes solidworks | eclipse ide | javascript | linux | microsoft access | microsoft project | microsoft visual basic | microsoft windows
