import time: self [us] | cumulative | imported package
import time:       427 |        427 |             selectors
import time:       504 |       2726 |           subprocess
import time:       384 |       3110 |         anyio._core._subprocesses
import time:       608 |        608 |               zlib
import time:       110 |        110 |                   compression
import time:       155 |        264 |                 compression._common
import time:       189 |        189 |                 compression._common._streams
import time:       460 |        460 |                 _bz2
import time:       197 |       1109 |               bz2
import time:       712 |        712 |                 _lzma
import time:       169 |        880 |               lzma
import time:       866 |        866 |                 _zstd
import time:       234 |        234 |                 compression.zstd._zstdfile
import time:       476 |       1575 |               compression.zstd
import time:       514 |       4685 |             shutil
import time:       508 |        508 |                 _bisect
import time:       111 |        618 |               bisect
import time:       520 |        520 |               _random
import time:       315 |       1451 |             random
import time:       411 |       6546 |           tempfile
import time:       614 |       7159 |         anyio._core._tempfile
import time:       752 |      66238 |       anyio
import time:      1273 |       1273 |                     typing_extensions
import time:      1508 |       1508 |                     pydantic_core._pydantic_core
import time:       259 |        259 |                           numbers
import time:      1416 |       1674 |                         _decimal
import time:       447 |       2121 |                       decimal
import time:      6758 |       8878 |                     pydantic_core.core_schema
import time:       670 |      12327 |                   pydantic_core
import time:       244 |      12570 |                 pydantic.version
import time:       524 |      13094 |               pydantic.warnings
import time:       521 |      13615 |             pydantic._migration
import time:       385 |        385 |                 typing_inspection
import time:      1033 |       1033 |                 typing_inspection.typing_objects
import time:       723 |       2140 |               typing_inspection.introspection
import time:       368 |        368 |               pydantic._internal
import time:       404 |        404 |                   pydantic._internal._namespace_utils
import time:       572 |        976 |                 pydantic._internal._typing_extra
import time:       492 |       1468 |               pydantic._internal._repr
import time:       650 |       4624 |             pydantic.errors
import time:       546 |      18784 |           pydantic
import time:       288 |        288 |               pydantic._internal._internal_dataclass
import time:       815 |       1103 |             pydantic.aliases
import time:      1150 |       1150 |             pydantic.config
import time:       369 |       2620 |           pydantic._internal._config
import time:       329 |        329 |             pydantic._internal._core_utils
import time:       216 |        216 |               pydantic._internal._import_utils
import time:       876 |       1091 |             pydantic._internal._utils
import time:      2337 |       3757 |           pydantic._internal._decorators
import time:       414 |        414 |               pydantic._internal._forward_ref
import time:       475 |        889 |             pydantic._internal._generics
import time:       297 |        297 |             pydantic._internal._docs_extraction
import time:       448 |       1633 |           pydantic._internal._fields
import time:       615 |        615 |               pydantic.plugin
import time:       426 |       1041 |             pydantic.plugin._schema_validator
import time:       354 |       1395 |           pydantic._internal._mock_val_ser
import time:       930 |        930 |               fractions
import time:       865 |        865 |                 _uuid
import time:       637 |       1501 |               uuid
import time:       338 |        338 |                   sysconfig
