import time: self [us] | cumulative | imported package
import time:        59 |         59 |               msvcrt
import time:       850 |        850 |               _posixsubprocess
import time:       879 |        879 |               select
import time:       629 |        629 |               selectors
import time:       719 |       3906 |             subprocess
import time:       377 |       4283 |           anyio._core._subprocesses
import time:       768 |        768 |                 zlib
import time:       219 |        219 |                     compression
import time:       391 |        609 |                   compression._common
import time:       529 |        529 |                   compression._common._streams
import time:       525 |        525 |                   _bz2
import time:       397 |       2057 |                 bz2
import time:      1015 |       1015 |                   _lzma
import time:       375 |       1390 |                 lzma
import time:      1113 |       1113 |                   _zstd
import time:       373 |        373 |                   compression.zstd._zstdfile
import time:       659 |       2144 |                 compression.zstd
import time:       809 |       7166 |               shutil
import time:       499 |        499 |                   _bisect
import time:       225 |        724 |                 bisect
import time:       700 |        700 |                 _random
import time:       504 |       1926 |               random
import time:       734 |       9825 |             tempfile
import time:       522 |      10347 |           anyio._core._tempfile
import time:       546 |      52385 |         anyio
import time:      1413 |       1413 |                       typing_extensions
import time:      1069 |       1069 |                       pydantic_core._pydantic_core
import time:       507 |        507 |                             numbers
import time:      1301 |       1808 |                           _decimal
import time:       376 |       2183 |                         decimal
import time:      6571 |       8754 |                       pydantic_core.core_schema
import time:       642 |      11876 |                     pydantic_core
import time:       233 |      12109 |                   pydantic.version
import time:      1651 |      13759 |                 pydantic.warnings
import time:       378 |      14137 |               pydantic._migration
import time:       333 |        333 |                   typing_inspection
import time:       964 |        964 |                   typing_inspection.typing_objects
import time:       658 |       1955 |                 typing_inspection.introspection
import time:       253 |        253 |                 pydantic._internal
import time:       364 |        364 |                     pydantic._internal._namespace_utils
import time:       398 |        762 |                   pydantic._internal._typing_extra
import time:       451 |       1213 |                 pydantic._internal._repr
import time:       436 |       3855 |               pydantic.errors
import time:       329 |      18320 |             pydantic
import time:       279 |        279 |                 pydantic._internal._internal_dataclass
import time:       811 |       1090 |               pydantic.aliases
import time:      1007 |       1007 |               pydantic.config
import time:       336 |       2433 |             pydantic._internal._config
import time:       253 |        253 |               pydantic._internal._core_utils
import time:       203 |        203 |                 pydantic._internal._import_utils
import time:       716 |        919 |               pydantic._internal._utils
import time:      2361 |       3532 |             pydantic._internal._decorators
import time:       362 |        362 |                 pydantic._internal._forward_ref
import time:       423 |        785 |               pydantic._internal._generics
import time:       289 |        289 |               pydantic._internal._docs_extraction
import time:       389 |       1462 |             pydantic._internal._fields
import time:       504 |        504 |                 pydantic.plugin
import time:       396 |        900 |               pydantic.plugin._schema_validator
import time:       342 |       1242 |             pydantic._internal._mock_val_ser
import time:      1825 |       1825 |                 fractions
