import time: self [us] | cumulative | imported package
import time:      1091 |       5524 |       click.core
import time:       516 |        516 |       click.decorators
import time:       503 |       6542 |     click
import time:       879 |        879 |     uvicorn._compat
import time:      1404 |       1404 |     uvicorn._types
import time:       270 |        270 |     uvicorn.importer
import time:       610 |        610 |       http
import time:       298 |        907 |     uvicorn.logging
import time:       326 |        326 |       uvicorn.middleware
import time:       323 |        648 |     uvicorn.middleware.asgi2
import time:       214 |        214 |     uvicorn.middleware.message_logger
import time:       902 |        902 |       ipaddress
import time:       299 |       1200 |     uvicorn.middleware.proxy_headers
import time:        39 |         39 |       a2wsgi
import time:       281 |        320 |     uvicorn.middleware.wsgi
import time:       717 |      77295 |   uvicorn.config
import time:        36 |         36 |       _wmi
import time:       591 |        626 |     platform
import time:       578 |        578 |           _bisect
import time:       210 |        788 |         bisect
import time:       671 |        671 |         _random
import time:       943 |       2401 |       random
import time:       236 |        236 |         email
import time:       182 |        182 |           urllib
import time:      1053 |       1234 |         urllib.parse
import time:       328 |        328 |         email._parseaddr
import time:       606 |       2402 |       email.utils
import time:       510 |       5312 |     uvicorn.server
import time:       372 |        372 |               multiprocessing.process
import time:       685 |        685 |                 array
import time:       496 |       1181 |               multiprocessing.reduction
import time:       584 |       2136 |             multiprocessing.context
import time:       364 |       2500 |           multiprocessing
import time:       701 |        701 |                 zlib
import time:       187 |        187 |                     compression
import time:       335 |        522 |                   compression._common
import time:       499 |        499 |                   compression._common._streams
import time:       544 |        544 |                   _bz2
import time:       338 |       1901 |                 bz2
import time:       925 |        925 |                   _lzma
import time:       343 |       1267 |                 lzma
import time:      1054 |       1054 |                   _zstd
import time:       359 |        359 |                   compression.zstd._zstdfile
import time:       623 |       2034 |                 compression.zstd
import time:       698 |       6599 |               shutil
import time:       433 |       7032 |             tempfile
import time:       564 |        564 |             multiprocessing.util
import time:       699 |        699 |             _multiprocessing
import time:        39 |         39 |             _winapi
import time:       699 |       9031 |           multiprocessing.connection
import time:       266 |      11796 |         uvicorn._subprocess
import time:       307 |      12103 |       uvicorn.supervisors.basereload
import time:       359 |        359 |       uvicorn.supervisors.multiprocess
import time:        38 |         38 |         watchfiles
import time:       433 |        470 |       uvicorn.supervisors.watchfilesreload
import time:       214 |        214 |       uvicorn.supervisors.statreload
import time:       441 |      13585 |     uvicorn.supervisors
import time:       962 |      20483 |   uvicorn.main
import time:       528 |      98305 | uvicorn
import time:        37 |         37 | uvloop
import time:       173 |        173 | uvicorn.loops.asyncio
import time:        39 |         39 | httptools
import time:       184 |        184 |         h11._abnf
import time:       541 |        541 |           h11._util
import time:       576 |       1116 |         h11._headers
import time:      1975 |       3273 |       h11._events
import time:       251 |        251 |         h11._receivebuffer
import time:       423 |        423 |         h11._state
import time:       684 |       1358 |       h11._readers
import time:       447 |        447 |       h11._writers
import time:       507 |       5584 |     h11._connection
import time:       265 |        265 |     h11._version
import time:       394 |       6241 |   h11
import time:       314 |        314 |   uvicorn.protocols.http.flow_control
import time:       291 |        291 |   uvicorn.protocols.utils
import time:      1228 |       8073 | uvicorn.protocols.http.h11_impl
import time:       532 |        532 |   websockets.imports
import time:       265 |        265 |           importlib._abc
import time:       105 |        370 |         importlib.util
import time:       268 |        268 |           zipfile._path.glob
import time:       564 |        832 |         zipfile._path
import time:       877 |       2078 |       zipfile
import time:       307 |        307 |       importlib.metadata._meta
import time:       283 |        283 |       importlib.metadata._collections
import time:       204 |        204 |       importlib.metadata._functools
import time:      1085 |       1085 |       importlib.metadata._itertools
import time:       677 |        677 |       importlib.abc
import time:       899 |       5530 |     importlib.metadata
import time:       184 |       5714 |   websockets.version
import time:       417 |       6662 | websockets
import time:       378 |        378 |     websockets.legacy
import time:       409 |        409 |     websockets.datastructures
import time:      1942 |       1942 |             _hashlib
import time:       754 |        754 |             _hmac
import time:       280 |       2975 |           hmac
import time:       312 |       3287 |         secrets
import time:       325 |        325 |         websockets.typing
import time:       988 |        988 |         websockets.speedups
import time:       272 |        272 |           websockets.extensions.base
import time:       377 |        649 |         websockets.extensions
import time:      1145 |       6391 |       websockets.frames
import time:       780 |        780 |       websockets.http11
import time:       543 |       7714 |     websockets.exceptions
import time:       600 |        600 |     websockets.headers
import time:      2242 |       2242 |         _blake2
import time:       336 |       2577 |       hashlib
import time:       237 |       2813 |     websockets.utils
import time:       401 |      12313 |   websockets.legacy.handshake
import time:       382 |        382 |   websockets.extensions.permessage_deflate
import time:       307 |        307 |       websockets.asyncio
import time:       370 |        676 |     websockets.asyncio.compatibility
import time:       908 |        908 |         _uuid
import time:       595 |       1503 |       uuid
import time:       275 |        275 |       websockets.streams
import time:       453 |       2231 |     websockets.protocol
import time:       266 |        266 |     websockets.legacy.exceptions
import time:       292 |        292 |     websockets.legacy.http
import time:       470 |        470 |       websockets.legacy.framing
import time:       419 |        888 |     websockets.legacy.protocol
import time:       579 |       4929 |   websockets.legacy.server
import time:       522 |        522 |   websockets.server
import time:       513 |      18657 | uvicorn.protocols.websockets.websockets_impl
import time:       293 |        293 |   starlette
import time:       470 |        470 |   starlette.status
import time:       218 |        218 |       annotated_doc.main
import time:       279 |        497 |     annotated_doc
import time:       231 |        231 |         quopri
import time:       457 |        457 |         email.errors
import time:       277 |        277 |             email.quoprimime
import time:       179 |        179 |             email.base64mime
import time:       177 |        177 |               email.encoders
import time:       272 |        449 |             email.charset
import time:       525 |       1428 |           email.header
import time:       356 |       1784 |         email._policybase
import time:       409 |        409 |         email._encoded_words
import time:       250 |        250 |         email.iterators
import time:       535 |       3663 |       email.message
import time:       258 |        258 |           anyio._core
import time:       447 |        704 |         anyio._core._contextmanagers
import time:      1613 |       1613 |           anyio._core._exceptions
import time:       433 |        433 |             sniffio._version
import time:       266 |        266 |             sniffio._impl
import time:       627 |       1326 |           sniffio
import time:       368 |       3306 |         anyio._core._eventloop
import time:      1135 |       1135 |               anyio.abc._eventloop
import time:       650 |        650 |               anyio.abc._resources
import time:       249 |        249 |                 anyio._core._typedattr
import time:       549 |        549 |                   anyio.abc._tasks
import time:       720 |       1269 |                 anyio.abc._streams
import time:       619 |       2136 |               anyio.abc._sockets
import time:       456 |        456 |               anyio.abc._subprocesses
import time:       669 |        669 |               anyio.abc._testing
import time:       794 |        794 |                 anyio.lowlevel
import time:       343 |        343 |                 anyio._core._tasks
import time:      1004 |       1004 |                 anyio._core._testing
import time:      2737 |       4875 |               anyio._core._synchronization
import time:      1469 |       1469 |               anyio.from_thread
import time:       452 |      11839 |             anyio.abc
import time:       295 |      12133 |           anyio.to_thread
import time:       891 |      13023 |         anyio._core._fileio
import time:       373 |        373 |         anyio._core._resources
import time:       235 |        235 |         anyio._core._signals
import time:       888 |        888 |             anyio.streams
import time:      1402 |       2289 |           anyio.streams.stapled
import time:      1144 |       1144 |           anyio.streams.tls
import time:      2211 |       5643 |         anyio._core._sockets
import time:      1319 |       1319 |           anyio.streams.memory
import time:       405 |       1723 |         anyio._core._streams
import time:       232 |        232 |         anyio._core._subprocesses
import time:       312 |        312 |         anyio._core._tempfile
import time:       494 |      26040 |       anyio
import time:      3004 |       3004 |                     typing_extensions
import time:     11911 |      11911 |                     pydantic_core._pydantic_core
import time:       851 |        851 |                           numbers
import time:      5577 |       6427 |                         _decimal
import time:       696 |       7122 |                       decimal
import time:     12723 |      19845 |                     pydantic_core.core_schema
import time:      1961 |      36720 |                   pydantic_core
import time:       716 |      37435 |                 pydantic.version
import time:      1206 |      38640 |               pydantic.warnings
import time:       987 |      39626 |             pydantic._migration
import time:       457 |        457 |                 typing_inspection
