term,count,raw_examples,already_in_common_skills,already_in_analytics_ml_signals,already_in_tooling_signals,promotable,candidate_common_skill,candidate_analytics_ml_signal,candidate_tooling_signal,candidate_baseline_families
data visualization,6,' data visualization' | data visualizations and reporting | sql and data visualization software | tableau/ raw /chart js/data visualization,False,False,False,False,False,False,False,
foundation,6,' foundation',False,False,False,False,False,False,False,
html,6,' html',False,False,False,False,False,False,False,
machine learning algorithms,6,' machine learning algorithms',False,False,False,True,False,True,False,model_development_basics
manager,6,' manager',False,False,False,False,False,False,False,
net,6,['.net' | '.net',False,False,False,False,False,False,False,
pig,6,' pig'] | ' pig' | hadoop - hive - pig,False,False,False,False,False,False,False,
predictive modeling,6,' predictive modeling'] | ' predictive modeling' | 'predictive modeling' | ['predictive modeling',False,False,False,True,False,True,False,
pyspark,6,' pyspark' | ' pyspark'] | 'pyspark',False,False,False,False,False,False,False,
regression,6,' regression' | regression/logistic regression | regression/logistic regression - sas,True,True,False,False,False,False,False,
scipy,6,' scipy',False,False,False,False,False,False,False,
scrum,6,' scrum',False,False,False,False,False,False,False,
spss,6,' spss' | wps or spss or python prefer sql server,False,False,False,False,False,False,False,
ups,6,' ups' | ' ups'],False,False,False,False,False,False,False,
visualization,6,' visualization' | data analyst and capacity and visualization and sql and azure,False,False,False,False,False,False,False,
css,5,' css',False,False,False,False,False,False,False,
git,5,' git' | team setting including git and unit testing,True,False,True,False,False,False,False,version_control
intern,5,' intern' | ['intern',False,False,False,False,False,False,False,
jquery,5,' jquery' | jquery/javascript programming including scripting / coding,False,False,False,False,False,False,False,
logistic regression,5,' logistic regression' | regression/logistic regression | regression/logistic regression - sas,False,False,False,True,False,True,False,classical_ml_methods
operations research,5,['operations research' | ' operations research' | c++ - operations research,False,False,False,False,False,False,False,
scikit-learn,5,' scikit.learn' | ' scikit-learn' | ' sklearn',True,False,False,False,False,False,False,
shell scripting,5,'shell scripting' | ' shell scripting',False,False,False,False,False,False,False,
soap,5,' soap'] | ' soap' | soap - ruby on rails | soap - ruby on rails / ror / ruby / rails,False,False,False,False,False,False,False,
statistical modeling,5,['statistical modeling' | ' statistical modeling',True,True,False,False,False,False,False,
supply chain,5,' supply chain' | ' supply chain'] | ['supply chain',False,False,False,False,False,False,False,
analytical skills,4,' analytical skills',False,False,False,False,False,False,False,
asp,4,' asp',False,False,False,False,False,False,False,
asp net,4,' asp.net',False,False,False,False,False,False,False,
bayesian hierarchical modeling,4,' bayesian hierarchical modeling',False,False,False,True,False,True,False,
cloud,4,' cloud' | cloud enablement/deployment | cloud/analytics,False,False,False,False,False,False,False,
cognos,4,' cognos',False,False,False,False,False,False,False,
econometrics,4,' econometrics',False,False,False,False,False,False,False,
embedded,4,' embedded',False,False,False,False,False,False,False,
experimental design,4,' experimental design'] | experimental design - sql,True,False,False,False,False,False,False,
gcp,4,' gcp' | etc gcp or other cloud platforms,False,False,True,False,False,False,False,
hardware,4,' hardware',False,False,False,False,False,False,False,
hbase,4,' hbase',False,False,False,False,False,False,False,
