queue_rank,needs_variant_review,missing_requirement_count,queue_priority_reason,job_doc_id,job_company,job_title,action,winner_resume,winner_score,selection_signal,requires_manual_review,manual_review_gap_epsilon,runner_up_resume,runner_up_score,score_gap,is_tie,tie_epsilon,packet_json,tailoring_json,tailoring_md,tailoring_llm_json,llm_tailoring_status,llm_cache_hit,llm_parse_ok,llm_provider,llm_model,llm_error_type,llm_retryable,llm_retry_used
1,True,2,"Strong apply candidate, but winner versus backup is a selector close call (manual_review_close_call); manual variant selection is required.",https://www.weareroku.com/jobs/7732318?gh_jid=7732318,roku,Senior Data Scientist,APPLY_REVIEW_VARIANTS,Sriram_Neelakantan_Product_Data_Scientist.pdf,0.722375,manual_review_close_call,True,0.020000,Sriram_Neelakantan_Applied_Scientist.pdf,0.704203,0.018172,False,0.010000,,,,,pending_variant_selection,,,,,,,
2,True,7,Tailor candidate with tied resume variants; variant choice should be reviewed.,https://www.weareroku.com/jobs/7684468?gh_jid=7684468,roku,"Senior Machine Learning Engineer, Platform",MAYBE_TAILOR,Sriram_Hariharan_Data_Engineer.pdf,0.636281,effective_tie,False,0.020000,Sriram_Neelakantan_Quantitative_Data_Scientist.pdf,0.633712,0.002569,True,0.010000,outputs/application_planning_option_a_v1/job_packets/roku__senior_machine_learning_engineer_platform__sriram_hariharan_data_engineer_pdf.json,outputs/application_planning_option_a_v1/job_packets/roku__senior_machine_learning_engineer_platform__sriram_hariharan_data_engineer_pdf__tailoring.json,outputs/application_planning_option_a_v1/job_packets/roku__senior_machine_learning_engineer_platform__sriram_hariharan_data_engineer_pdf__tailoring.md,outputs/application_planning_option_a_v1/job_packets/roku__senior_machine_learning_engineer_platform__sriram_hariharan_data_engineer_pdf__tailoring_llm.json,generated,False,True,gemini,gemini-2.5-flash,,,False
3,True,3,Tailor candidate with tied resume variants; variant choice should be reviewed.,https://job-boards.greenhouse.io/securityscorecard/jobs/7565684,securityscorecard,Senior Data Scientist,MAYBE_TAILOR,Sriram_Neelakantan_General_Data_Scientist.pdf,0.600944,effective_tie,False,0.020000,Sriram_Neelakantan_Healthcare_Data_Scientist.pdf,0.600944,0.000000,True,0.010000,outputs/application_planning_option_a_v1/job_packets/securityscorecard__senior_data_scientist__sriram_neelakantan_general_data_scientis.json,outputs/application_planning_option_a_v1/job_packets/securityscorecard__senior_data_scientist__sriram_neelakantan_general_data_scientis__tailoring.json,outputs/application_planning_option_a_v1/job_packets/securityscorecard__senior_data_scientist__sriram_neelakantan_general_data_scientis__tailoring.md,outputs/application_planning_option_a_v1/job_packets/securityscorecard__senior_data_scientist__sriram_neelakantan_general_data_scientis__tailoring_llm.json,generated,False,True,gemini,gemini-2.5-flash,,,False
4,True,3,Tailor candidate with a selector close-call winner (manual_review_close_call); review the top resume options before applying.,https://www.weareroku.com/jobs/7251360?gh_jid=7251360,roku,Research Data Scientist,MAYBE_TAILOR,Neelakantan_SriramHariharan_Resume_MLE_v3.pdf,0.594108,manual_review_close_call,True,0.020000,Sriram_Neelakantan_AI2.pdf,0.583409,0.010699,False,0.010000,outputs/application_planning_option_a_v1/job_packets/roku__research_data_scientist__neelakantan_sriramhariharan_resume_mle_v.json,outputs/application_planning_option_a_v1/job_packets/roku__research_data_scientist__neelakantan_sriramhariharan_resume_mle_v__tailoring.json,outputs/application_planning_option_a_v1/job_packets/roku__research_data_scientist__neelakantan_sriramhariharan_resume_mle_v__tailoring.md,outputs/application_planning_option_a_v1/job_packets/roku__research_data_scientist__neelakantan_sriramhariharan_resume_mle_v__tailoring_llm.json,generated,False,True,gemini,gemini-2.5-flash,,,False
5,True,7,Tailor candidate with tied resume variants; variant choice should be reviewed.,https://job-boards.greenhouse.io/lucidmotors/jobs/4963850007,lucidmotors,"Sr. Machine Learning Engineer, Autonomous Driving & Parking",MAYBE_TAILOR,Sriram_Neelakantan_AI1.pdf,0.524291,effective_tie,False,0.020000,Sriram_Neelakantan_AI2.pdf,0.524291,0.000000,True,0.010000,outputs/application_planning_option_a_v1/job_packets/lucidmotors__sr_machine_learning_engineer_autonomous_driving_parking__sriram_neelakantan_ai1_pdf.json,outputs/application_planning_option_a_v1/job_packets/lucidmotors__sr_machine_learning_engineer_autonomous_driving_parking__sriram_neelakantan_ai1_pdf__tailoring.json,outputs/application_planning_option_a_v1/job_packets/lucidmotors__sr_machine_learning_engineer_autonomous_driving_parking__sriram_neelakantan_ai1_pdf__tailoring.md,outputs/application_planning_option_a_v1/job_packets/lucidmotors__sr_machine_learning_engineer_autonomous_driving_parking__sriram_neelakantan_ai1_pdf__tailoring_llm.json,generated,False,True,gemini,gemini-2.5-flash,,,False
6,False,0,Tailor before applying.,https://www.weareroku.com/jobs/7526070?gh_jid=7526070,roku,Data Scientist,MAYBE_TAILOR,Sriram_Neelakantan_AI2.pdf,0.543456,decisive_winner,False,0.020000,Sriram_Neelakantan_AI1.pdf,0.520749,0.022707,False,0.010000,outputs/application_planning_option_a_v1/job_packets/roku__data_scientist__sriram_neelakantan_ai2_pdf.json,outputs/application_planning_option_a_v1/job_packets/roku__data_scientist__sriram_neelakantan_ai2_pdf__tailoring.json,outputs/application_planning_option_a_v1/job_packets/roku__data_scientist__sriram_neelakantan_ai2_pdf__tailoring.md,outputs/application_planning_option_a_v1/job_packets/roku__data_scientist__sriram_neelakantan_ai2_pdf__tailoring_llm.json,generated,False,True,gemini,gemini-2.5-flash,,,False
